Country,Y1860,Y1865,Y1870,Y1875,Y1880,Y1885,Y1890,Y1895,Y1900,Y1905,Y1910,Y1915,Y1920,Y1925,Y1930,Y1935,Y1940,Y1945,Y1950,Y1955,Y1960,Y1965,Y1970,Y1975,Y1980,Y1985,Y1990,Y1995,Y2000,Y2005,Y2010,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,3.0,,,6.4,,12.2,19.5,,27.1,31.5,35.9,,45.4,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,24.6,72.5,71.5,,,,,,,,,98.7,,95.9,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,17.5,19.0,10.4,18.8,26.4,,39.1,49.6,54.6,61.6,69.9,72.6,77.2,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,3.0,,,,,,,35.7,41.7,,67.4,,70.1,,,,,,,,,,,,
Argentina,,,,,,,,46.7,,,,64.9,,,,,,86.4,87.5,,91.4,,92.6,,93.9,,95.6,96.2,96.6,,97.3,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,99.4,,99.6,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,98.5,,99.0,,99.0,,99.0,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,88.5,,92.0,,94.0,,97.0,,97.0,,98.0,,98.0,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,99.6,99.8,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,21.6,,,25.8,29.5,,35.3,38.1,47.5,,56.8,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,99.0,,99.8,,,,97.9,,99.6,,99.6,,,,,,,,,,,,
Belgium,,59.4,,,69.4,,74.5,,80.4,,86.6,,92.2,,94.1,,,96.7,96.5,,,,97.2,,98.1,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,81.1,,,86.6,,,,,,70.3,,76.9,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,4.6,,,,16.5,,27.2,37.0,34.7,,42.4,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,3.0,,,,,,28.0,,37.2,42.2,47.3,47.0,57.6,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,32.1,,38.8,,,63.2,69.5,,80.0,83.1,86.7,90.7,91.2,,,,,,,,,,,,
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,97.9,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,20.5,22.5,,,32.7,41.0,,55.5,,68.6,69.8,81.2,,84.5,,,,,,,,,,,,
Brazil,,,,,,,,,34.7,,,,35.1,,,,43.9,,49.4,,61.0,,66.2,75.7,74.6,,81.0,83.3,86.4,89.6,90.3,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,27.4,27.5,,42.6,,63.9,,77.8,,87.8,88.2,92.7,,95.2,,,,,,,,,,,,
Bulgaria,,,,,,,,,29.6,34.5,42.2,,53.3,60.3,,68.6,,75.8,77.5,85.7,,90.6,,,93.1,,95.2,,98.2,,98.5,,,,,,,,,,,,
Burkina,,,,,,,,,,,,,,,,,,,,,,,,8.7,11.4,,13.6,12.8,21.8,23.6,28.7,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,13.9,,,,22.5,,37.4,35.3,59.3,,67.2,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,67.3,73.6,73.9,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,7.5,,18.9,,,41.2,44.0,,57.0,63.4,68.4,70.7,79.0,,,,,,,,,,,,
Canada,,,,,,,,,82.9,,89.0,,94.3,,95.7,,,,97.5,,98.0,,98.0,,98.5,,99.0,,99.0,,99.0,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,7.5,,2.1,,,18.2,33.0,,33.6,60.0,50.6,,56.0,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,3.0,,,5.6,,,32.7,,42.7,48.1,53.5,,63.6,,,,,,,,,,,,
Chile,,,,,,,,,,51.1,,,64.0,,75.6,,72.9,,80.1,,83.6,,89.0,,91.1,,94.3,95.2,95.7,,98.6,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,47.5,,,,,,65.5,,77.8,81.5,90.9,,94.3,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,42.4,,51.6,,55.8,,52.5,62.3,62.5,62.9,,81.8,86.9,,89.6,91.2,92.6,92.3,93.4,,,,,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,22.5,,,58.4,,,47.9,,54.4,57.3,60.3,,65.8,,,,,,,,,,,,
Congo,,,,,,,,,,,,,,,,,,,,,15.6,,,,51.5,,67.8,74.9,81.0,83.8,90.1,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,65.7,,,,,79.4,,,84.0,,88.4,91.5,92.6,93.9,94.8,94.9,,96.2,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,98.1,,98.8,,,,,,,,,,,,
Cuba,,,,,,,,,43.1,,56.4,,61.3,,71.8,,,66.4,77.5,78.9,,,,,89.2,,94.3,95.7,99.8,,99.8,,,,,,,,,,,,
Cyprus,,,,,,,,,,,25.5,,35.1,,46.3,,,60.5,62.5,,75.9,,,,,,94.4,,96.8,,98.3,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,96.9,,,,97.5,,97.7,,97.9,,98.2,,98.6,,99.0,,99.0,,,,,,,,,,,,
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,37.5,,,,,,59.3,,72.0,77.3,81.9,,89.0,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,98.5,,,,,,,,,,,99.0,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,41.1,46.2,51.4,,61.0,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,26.5,,,42.9,59.9,64.5,,67.2,,73.1,,79.8,82.1,87.0,88.7,89.5,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,55.7,,67.5,,,74.2,83.6,,88.3,90.1,91.0,84.2,91.9,,,,,,,,,,,,
Egypt,,,,,,,,,,7.3,,8.8,,14.1,,14.8,,19.9,22.5,,25.8,,,38.2,39.7,44.4,47.5,55.6,55.3,71.4,72.0,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,27.6,,,,39.4,,49.0,,57.1,62.0,63.0,,68.7,71.5,74.1,83.6,84.5,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,22.5,,,,,,60.4,,73.2,78.5,88.3,,93.9,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,52.5,,67.8,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,84.9,,,94.8,,,,,,,,,,,99.7,,99.8,,99.8,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,3.0,,,6.0,12.8,,22.9,,30.8,35.5,40.4,39.8,39.0,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,55.1,,,,,64.4,67.5,,,,79.0,,83.0,,89.2,91.6,93.6,93.7,96.3,,,,,,,,,,,,
Finland,,,,,,,,,38.8,,55.3,,69.9,,84.1,,,,98.5,,99.0,,99.0,,99.0,,100.0,,100.0,,100.0,,,,,,,,,,,,
France,,,33.0,,,,,,83.5,85.9,88.1,,91.8,93.9,94.7,96.0,,96.6,96.5,,96.6,,97.0,,98.0,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,3.0,,12.4,,,,40.8,,55.9,63.2,70.7,83.8,88.4,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,99.7,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,98.5,,98.7,,98.7,,98.8,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,22.5,,27.0,,30.2,,44.5,,58.2,64.5,70.7,,80.9,,,,,,,,,,,,
Greece,,,,,,,,,,39.5,,,53.9,,58.1,,,,74.1,,80.4,,84.4,,90.5,,92.6,,96.0,,97.2,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,13.2,,,,32.6,,29.4,,31.5,37.9,,46.0,48.7,,53.3,64.2,69.1,,75.2,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,3.0,,,8.6,,,22.4,,31.0,35.9,41.0,29.7,51.6,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,4.9,,,,39.1,,49.5,54.9,60.2,,70.0,,,,,,,,,,,,
Guyana,,,,,,,,,,,43.7,,47.9,,67.7,,,75.5,,,87.1,,80.1,,94.8,,97.2,98.1,98.6,,99.3,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,10.5,,14.5,,19.6,,34.7,,41.0,45.0,49.4,,57.7,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,26.1,33.3,32.6,34.7,36.3,35.2,,45.0,,56.9,,62.3,,69.4,72.7,80.0,83.6,84.8,,,,,,,,,,,,
Hungary,,,,,,,,,60.1,,67.7,,86.6,,90.0,,93.6,,95.3,,96.9,97.4,98.0,,98.9,,99.0,99.0,99.0,99.0,99.0,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,98.5,,,,,,,,,,,99.0,99.0,,,,,,,,,,,,
India,,,,,,,,,6.2,,7.0,,8.3,,9.1,,,,19.3,,27.8,,34.1,,40.8,,48.2,52.0,61.0,,62.6,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,17.5,,56.6,,56.6,,67.3,,81.5,83.8,87.3,92.0,92.6,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,12.5,12.8,15.6,22.8,36.9,36.5,,52.3,65.5,73.1,77.0,82.4,85.0,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,10.9,12.5,,14.4,24.2,,,40.4,,52.3,58.0,74.1,,78.2,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,98.5,,98.7,,98.8,,98.8,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,93.7,,84.2,,87.9,,,91.8,,,,97.1,,,,,,,,,,,,,
Italy,,,,,,,,,51.8,,62.8,,72.5,,78.4,,,,87.5,,,,93.9,,96.5,,97.0,,98.4,,98.9,,,,,,,,,,,,
Ivory Coast,,,,,,,,,,,,,,,,,,,,,5.0,,,,35.0,,34.1,40.1,48.7,,56.2,,,,,,,,,,,,
Jamaica,,,,,,,,,,,47.2,,52.2,,,,,67.9,72.5,77.0,90.9,,96.1,,77.3,,82.9,85.0,86.4,,89.7,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,97.5,,97.8,,99.0,,99.0,,99.0,,99.0,,99.0,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,17.5,,32.4,,67.6,,66.8,,82.1,86.6,89.8,91.1,92.6,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,99.5,,99.7,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,22.5,,19.5,,,,58.1,,72.0,78.1,82.2,81.8,90.1,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,17.5,35.0,46.8,54.4,55.0,59.6,67.5,74.5,,78.4,,93.3,93.9,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,99.2,,,,,,,,,,,,
Laos,,,,,,,,,,,,,,,,,,,17.5,,28.3,,,,43.6,,51.5,60.3,69.6,72.7,71.3,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,77.2,,93.4,,,,,,,,,,,,99.5,,99.7,,99.8,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,47.5,,,,78.5,,86.1,,90.8,92.4,93.7,,95.8,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,34.9,,,,58.6,,,57.0,,66.7,71.3,75.5,,82.4,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,7.5,,8.9,,,,24.7,32.1,33.5,38.3,43.2,54.8,53.7,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,7.5,12.9,,21.7,,39.0,53.9,60.2,69.9,76.2,81.6,86.1,89.2,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,65.8,,,,,,,,,,,,,,98.4,,99.6,,99.7,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,99.0,,100.0,,100.0,,,,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,96.1,,97.3,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,32.5,33.5,,,,,,,,,70.7,,64.5,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,6.5,,,,22.1,,,44.9,,52.3,56.4,60.4,,68.1,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,29.0,,,39.7,37.5,,22.3,,58.5,,69.5,,82.9,83.5,88.7,,93.1,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,2.2,,,9.4,14.2,,24.6,31.0,38.0,,52.9,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,11.1,,17.4,29.8,,35.2,37.7,40.1,,44.6,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,51.8,,60.8,,,,73.8,,79.9,82.9,85.4,,89.6,,,,,,,,,,,,
Mexico,,,,,,,,,22.3,,27.7,,33.8,,38.5,,46.0,,46.8,,65.4,,74.2,,83.0,,87.6,89.6,90.5,91.6,93.1,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,,96.7,,98.5,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,59.6,52.5,95.4,,,,,72.3,,79.9,82.9,85.6,,89.5,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,12.5,,13.8,,21.4,,28.9,,38.6,43.7,48.4,52.3,57.4,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,3.0,,7.7,,,,27.2,,34.7,40.1,45.9,48.2,57.4,,,,,,,,,,,,
Myanmar,,,,,,,,,28.4,,29.4,,35.7,,40.2,,,,52.5,69.9,,,,,76.8,78.6,81.3,83.1,84.8,,87.9,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,22.5,,38.4,,,,,,75.8,,85.0,,88.8,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,3.0,,8.8,,14.3,19.2,20.6,,24.4,27.5,30.9,,37.9,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,98.5,,99.0,,99.0,,99.0,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,98.5,,99.0,,99.0,,99.0,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,38.4,,,49.6,57.5,,60.9,,64.0,65.7,67.2,,69.9,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,0.9,,,,8.2,,11.6,13.6,15.9,,21.4,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,12.5,,,,,,34.6,,49.4,57.1,64.5,,77.1,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,31.8,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,98.5,,99.0,,99.0,,99.0,,100.0,,100.0,,100.0,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,81.4,86.6,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,13.8,,16.3,,21.7,,27.1,,34.2,37.8,41.8,49.9,49.9,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,72.0,,69.9,,73.3,,78.3,,85.6,,88.8,90.8,92.1,,94.1,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,7.5,,,29.4,32.1,,58.1,,68.1,72.2,75.9,,82.3,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,65.8,,74.6,,80.1,,86.8,,90.7,92.1,93.4,,95.4,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,47.5,,61.1,,72.5,,79.9,,86.3,88.7,90.7,,94.1,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,49.2,,,,48.8,,61.3,75.3,71.9,,82.6,,89.6,,93.6,94.6,95.7,,97.3,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,92.5,,95.3,,97.8,,98.7,,,99.2,,99.4,99.5,,,,,,,,,,,,
Portugal,,,,,,,,,26.6,,30.9,,44.8,,39.8,,49.6,,55.9,,61.9,,71.0,,79.4,,87.9,,,,95.2,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,7.5,,,,,,69.8,75.6,77.2,79.4,81.6,89.0,96.3,,,,,,,,,,,,
Republic of South Africa,,,,,,,,,,,,,,,,,,,42.5,,57.0,,,,75.7,,79.9,82.4,83.6,,86.6,,,,,,,,,,,,
Romania,,,,,,,,,22.0,,,,,,57.1,,,,76.9,88.6,,,,,,,96.7,,97.3,,97.7,,,,,,,,,,,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,99.4,,99.6,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,7.5,,16.4,,,,42.0,,54.3,60.5,66.4,,76.0,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,3.0,,2.5,,,,47.9,,59.1,62.8,67.0,,74.4,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,5.6,,,,21.5,,28.8,33.1,37.5,,46.7,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,7.5,,,6.7,,,18.9,,26.9,31.4,36.2,,46.6,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,99.7,99.7,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,3.0,,1.5,,,,6.1,,,,37.8,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,31.8,,,,37.5,76.8,70.6,60.1,78.6,,93.8,,97.1,98.0,97.9,,99.4,,,,,,,,,,,,
Spain,,,,,,,,,41.3,,47.8,,56.0,,,,76.8,,82.7,,86.7,,90.2,92.4,92.8,,96.5,,,97.8,97.7,,,,,,,,,,,,
Sri Lanka,,,,,,,,,26.4,,31.0,,39.9,,,,,57.8,62.5,67.7,,75.1,77.6,,85.3,,88.7,90.2,90.7,90.8,93.9,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,7.5,12.0,13.1,14.7,,,29.9,,40.3,46.1,51.8,,62.6,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,27.5,,,83.6,,,87.6,,91.7,93.0,94.2,,96.0,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,13.3,18.5,,,,,55.3,60.4,67.2,72.1,76.7,81.7,,86.2,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,99.9,,,,,98.5,,99.0,,99.0,,99.0,,99.0,99.0,,99.0,99.0,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,98.5,,99.0,,99.0,,99.0,,99.0,99.0,,99.0,99.0,,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,27.5,,29.5,,40.0,,53.8,,65.7,70.8,75.6,80.4,83.4,,,,,,,,,,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7,,99.5,,99.7,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,7.5,,9.5,28.1,,,49.6,,62.1,67.8,73.3,,82.2,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,31.2,,52.0,52.5,63.7,67.7,,78.6,,88.0,,93.3,93.8,95.1,,96.8,,,,,,,,,,,,
The Bahamas,,,,,,,,,,,46.6,,50.7,,69.7,,,76.0,,,,,,,96.8,,97.9,98.2,98.5,,98.8,,,,,,,,,,,,
The Gambia,,,,,,,,,,,,,,,,,,40.5,,,,,,,24.5,,33.7,38.6,43.4,,53.3,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,7.5,,9.7,,15.9,,33.4,,45.4,51.7,57.9,,69.5,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,47.5,,53.2,,,,,73.8,72.5,,93.4,,92.2,,95.0,,96.9,97.9,,98.4,98.8,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,17.5,,15.5,24.0,,38.0,46.5,48.2,60.2,66.7,,72.3,81.6,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,8.2,,20.4,,30.5,31.9,38.6,38.1,46.0,51.3,61.6,65.7,76.0,79.2,82.3,,88.2,90.8,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,,99.6,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,27.5,,44.9,,,,46.4,,56.6,61.8,67.0,71.4,76.2,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,99.1,,99.8,,,,,,99.4,,99.7,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,20.9,53.5,69.9,71.2,76.6,79.2,81.8,,86.7,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,98.5,,99.0,99.0,99.0,,99.0,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
United States of America,,,80.0,,83.0,,86.7,,90.3,,92.3,,94.0,,94.1,,97.1,97.3,97.5,,97.2,,99.0,,99.4,,,99.0,,99.0,99.0,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,82.5,,,80.4,,93.9,,95.4,,96.8,,97.8,98.1,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,,99.4,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,39.0,41.5,,52.2,,63.3,,76.5,,84.7,,89.8,,93.0,95.2,95.5,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,17.5,,64.5,,,,83.8,,87.6,93.7,95.6,,97.4,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,3.0,,2.5,,27.1,,8.6,,,37.1,,54.7,63.9,,,,,,,,,,,,
Yugoslavia,,,,,,,,,,,,,,,,,,,72.9,72.8,,,,,,,,,,,97.9,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,47.3,,53.5,,73.1,78.2,82.9,,89.6,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,22.5,,,,,,75.3,,82.3,85.1,87.6,,91.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,